titulo,artista,album,duracion,popularidad
Don't Stop Believin' (2024 Remaster),Journey,Greatest Hits (2024 Remaster),250,16
Rockstar,Nickelback,All the Right Reasons,255,11
I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things,242,12
Just Give Me a Reason (feat. Nate Ruess),P!nk,The Truth About Love,242,15
Pumped Up Kicks,Foster the People,Torches,239,11
When I Was Your Man,Bruno Mars,Unorthodox Jukebox,213,10
Sail,AWOLNATION,Megalithic Symphony,259,15
What Makes You Beautiful,One Direction,Up All Night (Deluxe Version),199,15
Locked Out of Heaven,Bruno Mars,Unorthodox Jukebox,233,10
